family,model,role_hint,od_mm,height_mm,mass_g,hollow_id_mm,config,v_nom_v,i_load_a,rpm_noload,torque_load_nm,torque_rated_nm,power_max_w,resistance_ohm,j_rotor_g_cm2,reduction,notes,
iPower,GM6208,proximal_light_or_j3,69.5,24,249,22,24N/28P,20,1.2,209-231,0.26-0.36,,25,32,,,gimbal_load_torque;_J_unknown,
iPower,GM110-8,proximal_candidate,110,26,534,,24N/28P,20,2,125-139,0.78-1.18,,60,20.19,,,no_hollow;_gimbal_load,
iPower,GM110-10,proximal_candidate,110,26,532,22,36N/42P,20,2,292-323,0.88-1.47,,80,4.16,,,hollow;_higher_tau_class,
iPower,GM8112,proximal_candidate,89.5,26,428,22,36N/42P,20,2,380-420,0.59-0.88,,80,4.2,,,hollow,
iPower,GM5208,proximal_light_or_distal,63,22.7,195,12,12N/14P,20,1,456-504,0.18-0.25,,40,15.2,,,,
iPower,GM5208-24,proximal_light_or_distal,59.5,31.2,204,12.6,24N/22P,20,1,396-436,0.18-0.25,,40,13.7,,,,
iPower,GM5208-12,proximal_light_or_distal,63,30.7,209,12,12N/14P,20,1,456-504,0.18-0.25,,40,15.2,,,encoder_housing_variant,
iPower,GM4108H,distal_or_j3,47,32.3,124,8,24N/22P,20,1.5,513-567,0.12-0.18,,25,11.1,,,,
iPower,GM3506,distal,40,17.8,64,8.6,24N/22P,12-16,1,2149-2375,0.06-0.10,,25,5.6,,,,
iPower,GM2804,distal_smoke,35,15,42.3,6.5,12N/14P,10,0.8,1602-1771,0.025-0.035,,25,9,,,,
iPower,GBM2804H-100T,distal_smoke,35,15,39,5,12N/14P,10,0.8,1468-1622,0.025-0.035,,25,10,,,,
T-Motor,GB2208,distal_smoke,27.5,23,39.5,6,12N14P,14.8,,1420-1894,,0.07,,14.4,,,orig_voltage:3-4S;_orig_kv:128,
T-Motor,GB4106,distal,47.75,20,70.0,5.6,12N14P,22.2,,588-1176,,0.20,,15.3,,,orig_voltage:3-6S;_orig_kv:53,
T-Motor,GB36-1,distal,41.8,24.3,88.0,5.6,12N14P,22.2,,555-1110,,0.24,,15.6,,,orig_voltage:3-6S;_orig_kv:50,
T-Motor,GB36-2,distal,42.5,30,128,5.6,12N14P,22.2,,333-666,,0.36,,16.4,,,orig_voltage:3-6S;_orig_kv:30,
T-Motor,GB54-1,proximal_light,60.7,23,137,12.7,12N14P,22.2,,366-732,,0.33,,15.6,,,orig_voltage:3-6S;_orig_kv:33,
